cluster_id,id_pista,name,MapBiom,OSM,OSMPoly,Manual,Dimas,id,i,col,row,area,area_rel,start_date,end_date
1,6,Pista 6,0,0,0,1,0,C65L39,5,65,39,764033185.4338675,98.86932869274901,NA,NA
2,100,Pista 100,1,0,0,0,1,C65L40,5,65,40,764531581.7088107,98.9338234111278,NA,NA
3,64892,Aeródromo Aldeia Pontal,1,1,0,0,0,C62L41,4,62,41,765015422.277709,98.99643455571326,NA,NA
4,97,Pista 97,1,0,0,0,0,C64L42,5,64,42,765484697.9281157,99.05716093437339,NA,NA
5,65333,Aeródromo Mayrowy,0,1,0,0,0,C64L42,5,64,42,765484697.9281157,99.05716093437339,NA,NA
6,79511,Cururu,1,1,0,0,0,C65L43,5,65,43,765939399.7249526,99.11600139086892,NA,NA
7,209,Pista 209,1,0,0,0,0,C64L44,5,64,44,766379519.0107386,99.17295480488283,NA,NA
8,53,Pista 53,1,0,0,1,0,C63L44,5,63,44,766379519.0106984,99.17295480487765,NA,NA
9,210,Pista 210,1,0,0,0,1,C65L46,5,65,46,767215976.8068756,99.28119620376516,NA,NA
10,201,Pista 201,1,0,0,0,1,C65L46,5,65,46,767215976.8068756,99.28119620376516,NA,NA
11,202,Pista 202,1,0,0,0,1,C65L46,5,65,46,767215976.8068756,99.28119620376516,NA,NA
12,199,Pista 199,1,0,0,0,0,C65L47,5,65,47,767612299.3910006,99.33248212770833,NA,NA
13,200,Pista 200,1,0,0,0,0,C65L47,5,65,47,767612299.3910006,99.33248212770833,NA,NA
14,1143,Pista 1143,1,0,0,0,0,C63L48,5,63,48,767994007.6117419,99.38187688733487,NA,NA
15,211,Pista 211,1,0,0,0,0,C64L48,5,64,48,767994007.6117725,99.38187688733883,NA,NA
16,823354,Jacareacanga Airport,1,0,1,1,0,C64L49,5,64,49,768361094.2013047,99.42937954215942,NA,NA
17,23,Pista 23,1,0,0,1,0,C62L49,4,62,49,768361094.2012843,99.4293795421568,NA,NA
18,186,Pista 186,1,0,0,0,0,C65L49,5,65,49,768361094.201294,99.42937954215803,NA,NA
19,22,Pista 22,1,0,0,1,0,C61L49,4,61,49,768361094.2012824,99.42937954215655,NA,NA
20,36,Pista 36,1,0,0,1,0,C64L49,5,64,49,768361094.2013047,99.42937954215942,NA,NA
21,2430,Pista 2430,1,0,0,0,0,C63L49,5,63,49,768361094.2012894,99.42937954215746,NA,NA
22,2429,Pista 2429,1,0,0,0,0,C63L49,5,63,49,768361094.2012894,99.42937954215746,NA,NA
23,35,Pista 35,0,0,0,1,0,C63L49,5,63,49,768361094.2012894,99.42937954215746,NA,NA
24,960,Pista 960,1,0,0,0,0,C61L50,4,61,50,768713552.1702604,99.47498918771858,NA,NA
25,965,Pista 965,1,0,0,0,0,C61L50,4,61,50,768713552.1702604,99.47498918771858,NA,NA
26,2434,Pista 2434,1,0,0,0,0,C63L50,5,63,50,768713552.1702673,99.47498918771947,NA,NA
27,34,Pista 34,1,0,0,1,0,C64L50,5,64,50,768713552.1702855,99.47498918772182,NA,NA
28,20,Pista 20,1,0,0,1,0,C63L50,5,63,50,768713552.1702673,99.47498918771947,NA,NA
29,12,Pista 12,1,0,0,1,0,C63L51,5,63,51,769051374.8078104,99.51870495560476,NA,NA
30,2432,Pista 2432,1,0,0,0,0,C63L51,5,63,51,769051374.8078104,99.51870495560476,NA,NA
31,13,Pista 13,1,0,0,1,0,C64L51,5,64,51,769051374.8078347,99.51870495560793,2020-04-01,NA
32,2370,Pista 2370,1,0,0,0,0,C65L51,5,65,51,769051374.8077974,99.5187049556031,NA,NA
33,2399,Pista 2399,1,0,0,0,0,C65L51,5,65,51,769051374.8077974,99.5187049556031,NA,NA
34,11,Pista 11,0,0,0,1,0,C63L51,5,63,51,769051374.8078104,99.51870495560476,2020-08-01,NA
35,16,Pista 16,1,0,0,1,0,C65L51,5,65,51,769051374.8077974,99.5187049556031,NA,NA
36,18,Pista 18,1,0,0,1,0,C64L52,5,64,52,769374555.6817496,99.56052601346178,NA,NA
37,15,Pista 15,1,0,0,1,0,C65L52,5,65,52,769374555.6817067,99.56052601345623,NA,NA
38,582,Pista 582,1,0,0,0,0,C64L52,5,64,52,769374555.6817496,99.56052601346178,NA,NA
39,14,Pista 14,1,0,0,1,0,C65L52,5,65,52,769374555.6817067,99.56052601345623,NA,NA
40,2397,Pista 2397,1,0,0,0,0,C65L52,5,65,52,769374555.6817067,99.56052601345623,NA,NA
41,21,Pista 21,1,0,0,1,0,C65L52,5,65,52,769374555.6817067,99.56052601345623,NA,NA
42,33,Pista 33,1,0,0,1,0,C65L52,5,65,52,769374555.6817067,99.56052601345623,NA,NA
43,17,Pista 17,1,0,0,1,0,C64L52,5,64,52,769374555.6817496,99.56052601346178,NA,NA
44,970,Pista 970,1,0,0,0,0,C61L52,4,61,52,769374555.6817085,99.56052601345644,NA,NA
45,2395,Pista 2395,1,0,0,0,0,C65L52,5,65,52,769374555.6817067,99.56052601345623,NA,NA
46,2408,Pista 2408,1,0,0,0,0,C65L53,5,65,53,769683088.6385729,99.60045156499838,NA,NA
47,878635,Pista Porquinho,1,0,1,0,0,C65L53,5,65,53,769683088.6385729,99.60045156499838,NA,NA
48,2378,Pista 2378,1,0,0,0,0,C65L53,5,65,53,769683088.6385729,99.60045156499838,NA,NA
49,68388,Aeródromo Fazenda Pison,1,1,0,0,0,C64L53,5,64,53,769683088.6386014,99.60045156500207,NA,NA
50,968,Pista 968,1,0,0,0,0,C63L53,5,63,53,769683088.638565,99.60045156499734,NA,NA
51,195,Pista 195,1,0,0,0,1,C66L45,5,66,45,766805047.4053977,99.22802009199567,NA,NA
52,191,Pista 191,1,0,0,0,1,C66L45,5,66,45,766805047.4053977,99.22802009199567,NA,NA
53,190,Pista 190,1,0,0,0,1,C66L45,5,66,45,766805047.4053977,99.22802009199567,NA,NA
54,194,Pista 194,1,0,0,0,1,C66L46,5,66,46,767215976.8068764,99.28119620376528,NA,NA
55,203,Pista 203,1,0,0,0,1,C65L46,5,65,46,767215976.8068756,99.28119620376516,NA,NA
56,192,Pista 192,1,0,0,0,1,C66L46,5,66,46,767215976.8068764,99.28119620376528,NA,NA
57,193,Pista 193,1,0,0,0,1,C66L46,5,66,46,767215976.8068764,99.28119620376528,NA,NA
58,204,Pista 204,1,0,0,0,1,C65L46,5,65,46,767215976.8068756,99.28119620376516,NA,NA
59,188,Pista 188,1,0,0,0,1,C66L46,5,66,46,767215976.8068764,99.28119620376528,NA,NA
60,196,Pista 196,1,0,0,0,1,C65L46,5,65,46,767215976.8068756,99.28119620376516,NA,NA
61,798224,Pátria Amada,1,1,0,0,0,C65L47,5,65,47,767612299.3910006,99.33248212770833,NA,NA
62,198,Pista 198,1,0,0,0,0,C66L48,5,66,48,767994007.6117464,99.38187688733544,NA,NA
63,2541,Pista 2541,1,0,0,0,0,C66L49,5,66,49,768361094.2012898,99.4293795421575,NA,NA
64,80398,Pista São Jorge,1,1,0,0,0,C66L49,5,66,49,768361094.2012898,99.4293795421575,NA,NA
65,2543,Pista 2543,1,0,0,0,0,C66L49,5,66,49,768361094.2012898,99.4293795421575,NA,NA
66,79573,Porto Rico,0,1,0,0,0,C66L49,5,66,49,768361094.2012898,99.4293795421575,NA,NA
67,2542,Pista 2542,1,0,0,0,0,C66L50,5,66,50,768713552.1702684,99.47498918771961,NA,NA
68,2351,Pista 2351,1,0,0,0,0,C66L50,5,66,50,768713552.1702684,99.47498918771961,NA,NA
69,2249,Pista 2249,1,0,0,0,0,C66L50,5,66,50,768713552.1702684,99.47498918771961,NA,NA
70,890366,Pista Bom Jesus,1,0,1,0,0,C66L52,5,66,52,769374555.6817309,99.56052601345937,NA,NA
71,890370,Pista Fogoió,1,0,1,0,0,C65L52,5,65,52,769374555.6817067,99.56052601345623,NA,NA
